Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Individuals using the Internet (% of population),IT.NET.USER.ZS,Afghanistan,AFG,0,..,3.55,4,5,5.454545455,5.9,7,8.26,10.59572642,11.44768809,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Albania,ALB,0,0.114097347,41.2,45,49,54.65595904,57.2,60.1,63.2529327,66.3634447,71.8470405,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Algeria,DZA,0,0.491705679,11.23,12.5,14.9,18.2,22.5,29.5,38.2,42.94552688,47.69105515,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,American Samoa,ASM,0,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Andorra,AND,0,10.53883561,78.53,81,81,86.43442462,94,95.9,96.91,97.93063712,98.87143552,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Angola,AGO,0,0.105045562,2.3,2.8,3.1,6.5,8.9,10.2,12.4,13,14.33907936,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Antigua and Barbuda,ATG,0,6.482225737,42,47,52,58,63.4,67.78,70,73,76,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Argentina,ARG,0,7.038683086,34,45,51,55.8,59.9,64.7,68.04306411,70.96898082,75.80974423,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Armenia,ARM,0,1.300470022,15.3,25,32,37.5,41.9,54.62280586,59.10237771,64.34602977,69.71812489,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Aruba,ABW,0,15.44282295,58,62,69,74,78.9,83.78,88.66122693,93.54245387,97.17,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Australia,AUS,0.585094712,46.75611561,74.25,76,79.48769771,79,83.45349717,84,84.56051935,86.54,86.54472054,..
